Sample_Date,Site_Type,Cave_Name,Cave_Sect_No,Rock  #,Pic #,Eggs_P/AB ,Fish_P/AB,Fish_L/W,1_Water_depth,2_Water_depth,3_Water_depth,Avg_depth,Water_ velocity (m/s),Sect_Dry_width (cm),Sect_Wet_width (cm),Rock_height_1,Rock_height_2,Rock_height_3,Rock_height_4,"Rock_underside_Concave, Flat, Convex",Rock_Yole_Y/N,Substrate_under_rock,Substrate_around_ rock,Substrate_depth  (cm),C,DO,T,pH,Left_Slope,Right_Slope,Additional_Notes
4/18/2017,Random,Tom Moore,15,R27,,AB,AB,,22,26.5,18,22.16666667,0.19,275,257,1.4,2.8,4.9,3.8,Convex,N,Bedrock,Cobble,1.7,567.5,11.82,14.11,8.01,90,10,Large rock in middle of stream
4/18/2017,Random,Tom Moore,32,R30,,AB,AB,,5,9.5,5,6.5,0.12,319,255,2,4,4,2.5,Convex,N,Bedrock,Silt,1.8,568.6,11.82,14.21,8.01,70,10,
4/18/2017,Random,Tom Moore,32,R35,,AB,AB,,5,9.5,5,6.5,0.12,319,255,4.5,2.5,2.5,4,Convex,N,Bedrock,Silt,1.5,568.6,11.82,14.21,8.01,70,10,
4/18/2017,Random,Tom Moore,43,R52,,AB,AB,,6,2.5,5,4.5,0.36,532,455,1,2,2,3,Convex,N,Bedrock,Pebble,2.7,535.1,11.85,14.12,7.95,35,20,
4/18/2017,Random,Tom Moore,43,R56,,AB,AB,,6,2.5,5,4.5,0.36,532,455,1.8,1.8,0.9,1.5,Convex,N,Bedrock,Pebble,2.4,535.1,11.85,14.12,7.95,35,20,
4/18/2017,Random,Tom Moore,43,R61,,AB,AB,,6,2.5,5,4.5,0.36,532,455,1.6,1,0.5,1,Convex,N,Bedrock,Pebble,2.6,535.1,11.85,14.12,7.95,35,20,
4/18/2017,Random,Tom Moore,43,R62,,AB,AB,,6,2.5,5,4.5,0.36,532,455,2,4,5,4,Convex,N,Bedrock,Pebble,2.7,535.1,11.85,14.12,7.95,35,20,
4/19/2017,Random,Tom Moore,49,R67,,AB,AB,,2.4,1.6,5.8,3.266666667,0.23,444,247,1.8,2.3,2.5,1.8,Convex,N,Bedrock,Pebble,0.9,603,11.22,13.89,8.05,68,46,
4/19/2017,Random,Tom Moore,58,R76,,AB,AB,,9.3,17.4,35.5,20.73333333,0.02,355,282,5,2,2,2.5,Convex,N,Bedrock,Silt,0.9,602.3,11.55,13.92,8.08,90,20,Pool
4/19/2017,Random,Tom Moore,69,R78,,AB,AB,,11,12.5,13,12.16666667,0.2,378,217,4,3,2.4,4.2,Convex,N,Bedrock,Silt,1.2,601,12.14,13.84,8.1,25,7,Pool
4/19/2017,Random,Tom Moore,69,R80,,AB,AB,,11,12.5,13,12.16666667,0.2,378,217,4.2,5.4,4.5,4.4,Convex,N,Bedrock,Silt,1.2,601,12.14,13.84,8.1,25,7,Pool
4/19/2017,Random,Tom Moore,78,R84,,AB,P,2 fish (85mm),6.6,8.1,0.4,5.033333333,0.01,537,360,2,4,3.5,7.5,Convex,N,Bedrock,Silt,1.7,601.6,11.35,13.88,8.04,17,2,
4/19/2017,Random,Tom Moore,84,R92,,AB,AB,,7,6,4,5.666666667,0.17,380,140,10.1,10.6,12.9,16,Convex,N,Mud,Cobble,1,621,10.03,13.93,8.5,45,55,Very Large rock on side of stream
4/19/2017,Random,Tom Moore,89,R97,,AB,P,3+ fish,32,37.5,37.5,35.66666667,0.01,506,382,2.6,3.5,4,4,Convex,N,Bedrock,Mud,1.2,608.7,11.45,13.85,8.1,90,34,
4/19/2017,Random,Tom Moore,89,R98,,AB,P,3+ fish,32,37.5,37.5,35.66666667,0.01,506,382,4.5,5,5.8,4.2,Convex,N,Bedrock,Mud,1.5,608.7,11.45,13.85,8.1,90,34,
4/19/2017,Random,Tom Moore,96,R108,,AB,AB,,6,4,1.9,3.966666667,0.06,272,168,1.4,1.6,3.5,2,Convex,N,Bedrock,Cobble,1.5,636.5,11.6,13.96,7.99,29,29,
4/19/2017,Random,Tom Moore,105,R115,,AB,AB,,23.5,49,34.5,35.66666667,0.01,324,281,4,2.5,1.7,1.8,Convex,N,Bedrock,Mud,2.8,640,11.64,13.94,7.82,90,90,Pool
4/19/2017,Random,Tom Moore,105,R119,,AB,AB,,23.5,49,34.5,35.66666667,0.01,324,281,3,2.2,2.7,2.8,Convex,N,Bedrock,Mud,2.7,640,11.64,13.94,7.82,90,90,Pool
4/19/2017,Random,Tom Moore,105,R120,,AB,AB,,23.5,49,34.5,35.66666667,0.01,324,281,2.2,1.9,1.9,2,Convex,N,Bedrock,Mud,2.6,640,11.64,13.94,7.82,90,90,Pool
4/19/2017,Random,Tom Moore,110,R122,,AB,P,"3 fish (110 mm, 85 mm x 2)",29,32,22.5,27.83333333,0.01,550,280,6,5.5,3.8,3.9,Convex,N,Bedrock,Mud,2.3,560,8.2,13.89,6.87,90,90,Undercut Pool
4/19/2017,Random,Tom Moore,110,R134,,AB,P,"3 fish (110 mm, 85 mm x 2)",29,32,22.5,27.83333333,1.01,550,280,2.5,4.5,2.4,3,Convex,N,Bedrock,Mud,2.6,560,8.2,13.89,6.87,90,90,Undercut Pool
4/19/2017,Random,Tom Moore,113,R137,,AB,AB,5 fish (No data),45,87,44,58.66666667,0.01,450,270,2.5,3,3.8,2.8,Convex,N,Cobble,Silt,2.8,641.5,11.05,13.92,7.74,90,90,"Pool, Undercut Banks"
4/19/2017,Random,Tom Moore,113,R140,,AB,AB,5 fish (No data),45,87,44,58.66666667,0.01,450,270,2,2.2,2.8,2.2,Convex,N,Cobble,Silt,2.6,641.5,11.05,13.92,7.74,90,90,"Pool, Undercut Banks"
4/19/2017,Random,Tom Moore,113,R141,,AB,AB,5 fish (No data),45,87,44,58.66666667,0.01,450,270,2.5,3,4.5,2,Convex,N,Cobble,Silt,2.8,641.5,11.05,13.92,7.74,90,90,"Pool, Undercut Banks"
4/19/2017,Random,Tom Moore,117,R142,,AB,AB,3 fish (No data),2,5,6,4.333333333,0.05,450,320,1.5,1.8,2.7,3.2,Convex,N,Bedrock,Mud,3.2,652,9.74,13.65,8.26,19,25,Pool
4/19/2017,Random,Tom Moore,134,R147,,AB,AB,,5,6.5,5.5,5.666666667,0.01,490,115,3,1.6,2.3,3,Convex,N,Bedrock,Mud,6.6,625.6,11.1,13.93,7.54,33,38,Pool
4/19/2017,Random,Tom Moore,135,R152,,AB,AB,,5,6.5,5.5,5.666666667,0.15,490,115,2.6,5,3.8,2.6,Convex,N,Bedrock,Pebble,9.5,625.6,11.1,13.93,7.54,25,17,Riffle
4/19/2017,Random,Tom Moore,SP,R162,,AB,AB,,11,15,14,13.3,0.05,410,220,2.6,3.4,3.4,2.4,Convex,N,Bedrock,Pebble,2,391,9.6,11.7,7.42,25,90,Extras
4/19/2017,Random,Tom Moore,SP,R164,,AB,AB,,18,25,21,21,0.05,450,300,2.8,1.6,1.4,2.9,Convex,N,Bedrock,Pebble,0.9,391,9.6,11.7,7.42,25,90,Extras
4/19/2017,Random,Tom Moore,SP,R165,,AB,AB,,16,12,18,15.3,0.05,461,289,8,5.5,6.7,4.1,Convex,N,Bedrock,Pebble,3,390,8.25,11.85,7.5,5,90,Extras
1/23/2017,Random,RunningB,3,R1,RB02,AB,AB,,10,12,10,10.66666667,0.06,326,125,5,15,7,9,Flat,N,Bedrock,Bedrock,0.5,575,9.4,13.65,7.75,17,15,Large rock in the middle of stream 
1/23/2017,Random,RunningB,9,R5,RB06,AB,AB,,16,19,13,16,0.07,259,85,8.5,7,3.5,5,Flat,N,Bedrock,Silt,2,577,8.98,13.65,7.69,32,45,Small rock in middle of stream
1/24/2017,Random,Mystery,2,R2,MY4,AB,AB,,21,37.5,35,31.16666667,0.11,641,305,17.5,41,14.5,29,Flat,N,Bedrock,Bedrock,0.9,580,9.44,13.01,7.95,40,80,Large rock along bank
1/24/2017,Random,Mystery,4,R3,MY5,AB,AB,,22.5,35,23.5,27,0.08,555,262,16.5,15,10,17,Flat,N,Bedrock,Bedrock,0.9,580,9.44,13.01,7.95,89,33,Small rock in middle of stream
